st,ct,as,sa
56,946,Nalhera Gujjar,247451
56,946,Nanauta,247452
56,946,Nasrullahgarh,247342
56,946,Nazirpura,247001
56,946,Pahansu,247451
56,946,Pandoli,247551
56,946,Paniyali Kasimpur,247551
56,946,Phandpuri,247001
56,946,Pheraheri,247001
56,946,Pilakhni,247232
56,946,"prasar Kendra, Rampur",247451
56,946,Pundain,247001
56,946,Punwarka,247120
56,946,Qutubpur,247232
56,946,Randeva,247340
56,946,Randheri,247340
56,946,Randol,247120
56,946,Rangail,247341
56,946,Raniyala Dayalpur,247340
56,946,Rankhandi,247554
56,946,Rehri Tajpur,247120
56,946,Ruhalki,247121
56,946,S.hariya,247001
56,946,Sadholi Quadeem,247121
56,946,Sadholi Qudeem,247001
56,946,Saharanpur H.o.,247001
56,946,Sakhan Khurd,247554
56,946,Salempur Bhukheri,247001
56,946,Samaspur Naugaon,247121
56,946,Sanpla Khatri,247554
56,946,Saraswati Nagar,247554
56,946,Sarsina,247554
56,946,Shekhpura Qudeem,247001
56,946,Sherpur Khanazadpur,247662
56,946,Shimlana,247453
56,946,Simbhalki Gujjar,247662
56,946,Sirsaka,247342
56,946,Sona Arjunpur,247451
56,946,Sorana,247232
56,946,"sugar Mill, Sarsawa",247232
56,946,Tabur,247342
56,946,Talhapur,247129
56,946,Talheri Buzurg,247554
56,946,Tanko Sunderpur,247662
56,946,Tansipur,247551
56,946,Telipura,247232
56,946,Thaska,247453
56,946,Tikrol,247452
56,946,Titron,247343
56,946,Tiwaya,247001
56,946,Toderpur,247231
56,946,Umahikalan,247451
56,946,Umrikalan,247451
56,946,Unali,247001
56,946,Veera Kheri,247340
