st,ct,as,sa
52,1051,Pharrod,341030
52,1051,Phirod,341001
52,1051,Phogari,341303
52,1051,Pipasar,341029
52,1051,Pirwa,341305
52,1051,Police Line Nagaur Ndtso,341001
52,1051,Poonlota,341503
52,1051,Punas,341514
52,1051,Pundlu,341510
52,1051,Rabariyad,341512
52,1051,Rahugate Ladnun Ndtso,341306
52,1051,Raidhana,341303
52,1051,Raidhanu,341021
52,1051,Rajaliya,341508
52,1051,Rajapura,341301
52,1051,Rajlota,341503
52,1051,Ramsabas,341303
52,1051,Ramsari,341503
52,1051,Ramsia,341504
52,1051,Rasal,341508
52,1051,Rasaliyawas,341510
52,1051,Rasidpura,341517
52,1051,Ratanga,341027
52,1051,Ratau Dso,341317
52,1051,Ratrana,341031
52,1051,Reengan,341303
52,1051,Ren Dso,341514
52,1051,Riyan Dso,341513
52,1051,Rodu,341304
52,1051,Rohindi,341512
52,1051,Rohini,341001
52,1051,Rohisa,341513
52,1051,Rol Dso,341027
52,1051,Rooppura,341508
52,1051,Rotoo,341023
52,1051,S.padampura,341508
52,1051,S.r. Kuchamancity Ndtso,341508
52,1051,Sabalpura,341520
52,1051,Sadokan,341001
52,1051,Saferkallan,341502
52,1051,Sagoobari,341305
52,1051,Sandila,341030
52,1051,Sania,341318
52,1051,Sanju,341503
52,1051,Sankhawas,341028
52,1051,Sanwarad,341303
52,1051,Sardarpura Khurd,341551
52,1051,Sardi,341303
52,1051,Sarnawara,341504
52,1051,Satheran,341001
52,1051,Satlas,341510
52,1051,Sensara,341513
52,1051,Serani Ki Dhani,341302
52,1051,Sheelgaon,341028
52,1051,Shimbhupura,341507
52,1051,Shyamsar,341001
52,1051,Silanwad,341023
52,1051,Singar,341001
52,1051,Singrawatkallan,341303
52,1051,Sinod,341001
52,1051,Sinwa,341317
52,1051,Sirasana,341514
52,1051,Sirsu,341501
52,1051,Somana,341022
52,1051,Soneli,341022
52,1051,Sribalaji Dso,341029
52,1051,Station Road Didwana Ndtso,341303
52,1051,Sudarasan,341551
52,1051,Sudwar,341031
52,1051,Sukhwasi,341001
52,1051,Supaka,341303
52,1051,Surjaniyawas,341027
52,1051,Surpalia,341022
52,1051,Tadas,341025
52,1051,Tankala,341001
52,1051,Tantwas,341001
52,1051,Tanwara,341022
52,1051,Taparwara,341512
52,1051,Tausar,341001
52,1051,Thanwala Edso,305026
52,1051,Thata,341515
52,1051,Thebari,341319
52,1051,Thikariya Khurd,341509
52,1051,Thirod,341026
52,1051,Todas,341509
52,1051,Toshina Dso,341319
52,1051,Ubasi,341030
52,1051,Unthwaliya,341001
52,842,Aagaria,313332
52,842,Aidana,313334
52,842,Ajitgarh,305921
52,842,Akodara,313323
52,842,Anjana,313331
52,842,Antalia,313334
52,842,Atma,313334
52,842,B K Kalwana,313704
52,842,Badrada,313324
52,842,Bagana,313331
52,842,Baggad,313341
52,842,Balicha,313322
52,842,Balli Ijassa Kheda,305921
52,842,Bamanhera,313323
52,842,Bamnia Kalan,313329
52,842,Banerian,313329
52,842,Baradara,313325
52,842,Barjal,313331
52,842,Bhada Bhanuja,313321
52,842,Bhana,313324
52,842,Bhanpura,313704
52,842,Bhatoli,313335
52,842,Bhawa,313324
52,842,Bhensa Kamed,313321
52,842,Bijnol,313323
52,842,Bikawas,313332
52,842,Binol,313327
52,842,Bokhada,313704
52,842,Charana,313211
52,842,Charbhuja Road,313332
52,842,Chirwa,313202
52,842,Chowkdi,313329
52,842,Dansaria,305921
52,842,Daver,313331
52,842,Dhaneen,313334
52,842,Dhaneria,313206
52,842,Dhanyla,313334
